,rank,name,type,matchs_played,score,profile_name,season,player_id,team_name,team_id
98,99.0,Sushil Vijay Bhosle,"Defender, left cover",2,2.0,/players/sushil-vijay-bhosle,3,308,/teams/dabang-delhi-kc,2
99,99.0,Darshan Kadian,Raider,2,2.0,/players/darshan-kadian,3,324,/teams/patna-pirates,6
100,99.0,Nirbhay Narwal,"Defender, left corner",2,2.0,/players/nirbhay-narwal,3,316,/teams/bengaluru-bulls,1
101,99.0,Jay Bahadur Bohara,Raider,1,2.0,/players/jay-bahadur-bohara,3,263,/teams/dabang-delhi-kc,2
102,99.0,Vinoth Paulyas,Raider,3,2.0,/players/vinoth-paulyas,3,227,/teams/u-mumba,5
103,99.0,K. Prapanjan,Raider,4,2.0,/players/k--prapanjan,3,219,/teams/u-mumba,5
104,99.0,Simon Kibura,Raider,2,2.0,/players/simon-kibura,3,10,/teams/puneri-paltan,7
105,99.0,Parmod Narwal,All Rounder,4,2.0,/players/parmod-narwal,3,150,/teams/bengaluru-bulls,1
106,99.0,Vijin Thangadurai,"Defender, right cover",4,2.0,/players/vijin-thangadurai,3,185,/teams/bengal-warriors,4
107,99.0,Suresu Kumar,Raider,3,2.0,/players/suresu-kumar,3,173,/teams/u-mumba,5
108,109.0,Deepak Dhull,"Defender, left cover",1,1.0,/players/deepak-dhull,3,181,/teams/bengal-warriors,4
109,109.0,Rohit Kumar Prajapat,Raider,3,1.0,/players/rohit-kumar-prajapat,3,193,/teams/jaipur-pink-panthers,3
110,109.0,D. Gopu,"Defender, right and left corner",2,1.0,/players/d--gopu,3,152,/teams/telugu-titans,8
111,109.0,Tae Deok Eom,All Rounder,7,1.0,/players/tae-deok-eom,3,14,/teams/patna-pirates,6
112,109.0,Pravin Niwale,Raider,2,1.0,/players/pravin-niwale,3,79,/teams/dabang-delhi-kc,2
113,109.0,Raju Lal Choudhary,"Defender, right corner",1,1.0,/players/raju-lal-choudhary,3,87,/teams/jaipur-pink-panthers,3
114,109.0,G.S. Manikandan,"Defender, left cover",7,1.0,/players/g-s--manikandan,3,222,/teams/dabang-delhi-kc,2
115,109.0,T. Prasad,All Rounder,3,1.0,/players/t--prasad,3,236,/teams/telugu-titans,8
116,109.0,Isac Antony,Raider,2,1.0,/players/isac-antony,3,238,/teams/telugu-titans,8
117,109.0,Navjot Singh,"Defender, right cover",1,1.0,/players/navjot-singh,3,296,/teams/dabang-delhi-kc,2
118,109.0,Hardeep Duhan,"Defender, right corner",1,1.0,/players/hardeep-duhan,3,317,/teams/bengaluru-bulls,1
119,109.0,Parvesh Attri,Raider,1,1.0,/players/parvesh-attri,3,315,/teams/bengaluru-bulls,1
120,109.0,Ravinandan G.M.,"Defender, left corner",1,1.0,/players/ravinandan-g-m-,3,307,/teams/dabang-delhi-kc,2
121,109.0,Sanju,Raider,4,1.0,/players/sanju,3,312,/teams/telugu-titans,8
122,116.0,Inderpal Bishnoi,Raider,2,1.0,/players/inderpal-bishnoi,3,224,/teams/dabang-delhi-kc,2
123,116.0,Amit Kumar,All Rounder,1,1.0,/players/amit-kumar,3,237,/teams/puneri-paltan,7
124,116.0,Kazuhiro Takano,All Rounder,2,1.0,/players/kazuhiro-takano,3,199,/teams/jaipur-pink-panthers,3
125,116.0,Mohammad Maghshoudulu,All Rounder,4,1.0,/players/mohammad-maghshoudulu,3,200,/teams/jaipur-pink-panthers,3
126,116.0,Adinath Sakharam Gavali,"Defender, right and left cover",1,1.0,/players/adinath-sakharam-gavali,3,201,/teams/bengaluru-bulls,1
127,116.0,Jishnu,"Defender, right cover",3,1.0,/players/jishnu,3,239,/teams/telugu-titans,8
0,1.0,Pawan Kumar Sehrawat,Raider,17,228.0,/players/pawan-kumar-sehrawat,7,318,/teams/bengaluru-bulls,1
1,2.0,Pardeep Narwal,Raider,17,207.0,/players/pardeep-narwal,7,197,/teams/patna-pirates,6
2,3.0,Naveen Kumar,Raider,16,199.0,/players/naveen-kumar,7,2296,/teams/dabang-delhi-kc,2
3,4.0,Maninder Singh,Raider,17,156.0,/players/maninder-singh,7,143,/teams/bengal-warriors,4
4,5.0,Siddharth Sirish Desai,Raider,16,140.0,/players/siddharth-sirish-desai,7,2026,/teams/telugu-titans,8
5,6.0,Vikash Kandola,Raider,13,129.0,/players/vikash-kandola,7,366,/teams/haryana-steelers,28
6,7.0,Deepak Niwas Hooda,All Rounder,16,120.0,/players/deepak-niwas-hooda,7,41,/teams/jaipur-pink-panthers,3
7,8.0,Manjeet,Raider,18,118.0,/players/manjeet,7,763,/teams/puneri-paltan,7
8,9.0,Rahul Chaudhari,Raider,17,115.0,/players/rahul-chaudhari,7,81,/teams/tamil-thalaivas,29
9,10.0,Pankaj Mohite,Raider,15,99.0,/players/pankaj-mohite,7,2661,/teams/puneri-paltan,7
10,11.0,Shrikant Jadhav,Raider,16,98.0,/players/shrikant-jadhav,7,106,/teams/up-yoddha,30
11,12.0,K. Prapanjan,Raider,17,96.0,/players/k--prapanjan,7,219,/teams/bengal-warriors,4
12,13.0,Rohit Gulia,All Rounder,16,93.0,/players/rohit-gulia,7,686,/teams/gujarat-fortunegiants,31
13,14.0,Rohit Kumar,Raider,17,92.0,/players/rohit-kumar,7,326,/teams/bengaluru-bulls,1
14,15.0,Mohammad Esmaeil Nabibakhsh,All Rounder,17,91.0,/players/mohammad-esmaeil-nabibakhsh,7,484,/teams/bengal-warriors,4
15,16.0,Abhishek Singh,Raider,14,88.0,/players/abhishek-singh,7,2028,/teams/u-mumba,5
16,17.0,V. Ajith Kumar,Raider,14,85.0,/players/v--ajith-kumar,7,2508,/teams/tamil-thalaivas,29
17,18.0,Vinay,Raider,16,81.0,/players/vinay,7,2488,/teams/haryana-steelers,28
18,19.0,Sachin Tanwar,Raider,14,79.0,/players/sachin-tanwar,7,757,/teams/gujarat-fortunegiants,31
19,19.0,Chandran Ranjit,Raider,15,79.0,/players/chandran-ranjit,7,36,/teams/dabang-delhi-kc,2
20,21.0,Arjun Deshwal,Raider,15,78.0,/players/arjun-deshwal,7,2024,/teams/u-mumba,5
21,22.0,Naveen,Raider,13,58.0,/players/naveen,7,2357,/teams/haryana-steelers,28
22,22.0,Ajay Thakur,Raider,13,58.0,/players/ajay-thakur,7,26,/teams/tamil-thalaivas,29
23,22.0,Vishal Bhardwaj,Defender,16,58.0,/players/vishal-bhardwaj,7,358,/teams/telugu-titans,8
24,22.0,Sandeep Kumar Dhull,"Defender, left corner",16,58.0,/players/sandeep-kumar-dhull,7,290,/teams/jaipur-pink-panthers,3
25,26.0,Fazel Atrachali,"Defender, left corner",16,55.0,/players/fazel-atrachali,7,259,/teams/u-mumba,5
26,26.0,Sumit,"Defender, left corner",16,55.0,/players/sumit,7,2330,/teams/up-yoddha,30
27,28.0,PO Surjeet Singh,"Defender, right cover",18,53.0,/players/po-surjeet-singh,7,322,/teams/puneri-paltan,7
28,29.0,Nitin Tomar,Raider,11,52.0,/players/nitin-tomar,7,320,/teams/puneri-paltan,7
29,30.0,Sandeep Narwal,All Rounder,16,51.0,/players/sandeep-narwal,7,142,/teams/u-mumba,5
30,30.0,More GB,Raider,14,51.0,/players/more-gb,7,772,/teams/gujarat-fortunegiants,31
31,32.0,Baldev Singh,"Defender, right corner",17,50.0,/players/baldev-singh,7,621,/teams/bengal-warriors,4
32,33.0,Surender Gill,Raider,13,48.0,/players/surender-gill,7,2286,/teams/up-yoddha,30
33,34.0,Neeraj Kumar,"Defender, right cover",17,47.0,/players/neeraj-kumar,7,637,/teams/patna-pirates,6
34,34.0,Nitin Rawal,All Rounder,12,47.0,/players/nitin-rawal,7,791,/teams/jaipur-pink-panthers,3
35,36.0,Mahender Singh,"Defender, left cover",15,46.0,/players/mahender-singh,7,769,/teams/bengaluru-bulls,1
36,36.0,Monu Goyat,Raider,9,46.0,/players/monu-goyat,7,388,/teams/up-yoddha,30
37,38.0,Farhad Rahimi Milaghardan,All Rounder,16,45.0,/players/farhad-rahimi-milaghardan,7,482,/teams/telugu-titans,8
38,38.0,Suraj Desai,Raider,12,45.0,/players/suraj-desai,7,115,/teams/telugu-titans,8
39,38.0,Rinku Narwal,Defender,17,45.0,/players/rinku-narwal,7,796,/teams/bengal-warriors,4
40,38.0,Jaideep,"Defender, left corner",17,45.0,/players/jaideep,7,579,/teams/patna-pirates,6
41,42.0,Ravinder Pahal,"Defender, right corner",16,44.0,/players/ravinder-pahal,7,157,/teams/dabang-delhi-kc,2
42,42.0,Sunil Kumar,Defender,16,44.0,/players/sunil-kumar,7,368,/teams/gujarat-fortunegiants,31
43,44.0,Nitesh Kumar,Defender,16,43.0,/players/nitesh-kumar,7,725,/teams/up-yoddha,30
44,45.0,Surinder Singh,Defender,16,42.0,/players/surinder-singh,7,733,/teams/u-mumba,5
45,45.0,Rohit Baliyan,Raider,13,42.0,/players/rohit-baliyan,7,261,/teams/u-mumba,5
46,45.0,Rishank Devadiga,Raider,12,42.0,/players/rishank-devadiga,7,94,/teams/up-yoddha,30
